Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xb19b231fad1ee3cc9c0da9a0c90305b7d142f1d30e601172588b4768e3e40c51,4809283,1701538968,12/2/2023 17:42,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,6.18197E-06,0,,,,Grant Permission
0x380fcac75636072878f106101a75d8f0a9f87ebf24c83344d644c07d6ab390b3,4809284,1701538980,12/2/2023 17:43,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.26028E-05,0,,,,0xdd8b143e
0x9e68f9d4c94893d7db1b96095b28821b13c39854a625a2a3e3eaf87ea00250ba,4809288,1701539028,12/2/2023 17:43,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,5.44363E-06,0,,,,Grant Permission
0x1d92c89e9a2e89e66d8c94e12eb50ced329f5c9638b23583fb9b5c84a0756be4,4809289,1701539040,12/2/2023 17:44,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.14515E-05,0,,,,0xdd8b143e
0xcf3a3020120bbb2039a10d5fecd8efeed19bff035d6fce1241e98d2a00f16c22,4809290,1701539052,12/2/2023 17:44,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.62973E-06,0,,,,Grant Permission
0x6716b884aea1b3d149e6313272f26581849f7cf4f46aea7696bc701e6a1e7c1e,4809291,1701539064,12/2/2023 17:44,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,9.68317E-06,0,,,,0xdd8b143e
0x9453d27d1de41478a281d1c31c8be08d434933283c320ae0bbede5239b959eb7,4809292,1701539088,12/2/2023 17:44,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,3.94498E-06,0,,,,Grant Permission
0x3484174c0b306e4bffc6bb81df237e6a15ae6158130e64cc218792c2bbb34cc6,4809311,1701539340,12/2/2023 17:49,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.19399E-05,0,,,,0xdd8b143e
0xde9ef42dec2a90ec1e53384e087da52d126a0ed1bcfa7e00d2553d8af844848a,4809312,1701539352,12/2/2023 17:49,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.21274E-05,0,,,,0xdd8b143e
0xb56fc8cb24595eab7d253d3e0e1abeff890fd4dd9eecfc58cbe7f0f0805e62e3,4809314,1701539376,12/2/2023 17:49,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.47846E-06,0,,,,Grant Permission
0x6bdaa8ae536bbc31f57ca74d460581f49cd009a2578bc42885e0d5af3c1ecf09,4809315,1701539388,12/2/2023 17:49,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.07465E-05,0,,,,0xdd8b143e
0x80d2e570a0cfd13d3d575e63f38b631b0eb34f47b7b36ba1e81b19899b544276,4809325,1701539556,12/2/2023 17:52,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,5.13363E-06,0,,,,Grant Permission
0xd0ce7e7685f3b3f98a1bc154cc01323a5fe364f02fa48378965936c85a8a1f43,4809328,1701539592,12/2/2023 17:53,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.22716E-05,0,,,,0xdd8b143e
0x02d3deec1fd450f8bc96c64e8c292cba08b4f03b20e40178cb21d4dc8fe53629,4809329,1701539604,12/2/2023 17:53,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.6664E-06,0,,,,Grant Permission
